district,season,season_start,oor_doy,data_source,oor_date_approx,oor_month,oor_month_name,decade,region
Balaka,2015/16,2015,344.9,synthetic,2000-12-09,12.0,December,2010s,Southern
Balaka,2016/17,2016,,synthetic,,,,2010s,Southern
Balaka,2017/18,2017,329.1,synthetic,2000-11-24,11.0,November,2010s,Southern
Balaka,2018/19,2018,333.5,synthetic,2000-11-28,11.0,November,2010s,Southern
Balaka,2019/20,2019,327.5,synthetic,2000-11-22,11.0,November,2010s,Southern
Balaka,2020/21,2020,329.8,synthetic,2000-11-24,11.0,November,2020s,Southern
Balaka,2021/22,2021,333.4,synthetic,2000-11-28,11.0,November,2020s,Southern
Balaka,2022/23,2022,337.5,synthetic,2000-12-02,12.0,December,2020s,Southern
Balaka,2023/24,2023,338.3,synthetic,2000-12-03,12.0,December,2020s,Southern
Blantyre,1990/91,1990,309.2,synthetic,2000-11-04,11.0,November,1990s,Southern
Blantyre,1991/92,1991,321.5,synthetic,2000-11-16,11.0,November,1990s,Southern
Blantyre,1992/93,1992,312.3,synthetic,2000-11-07,11.0,November,1990s,Southern
Blantyre,1993/94,1993,312.8,synthetic,2000-11-07,11.0,November,1990s,Southern
Blantyre,1994/95,1994,311.6,synthetic,2000-11-06,11.0,November,1990s,Southern
Blantyre,1995/96,1995,305.1,synthetic,2000-10-31,10.0,October,1990s,Southern
Blantyre,1996/97,1996,322.4,synthetic,2000-11-17,11.0,November,1990s,Southern
Blantyre,1997/98,1997,320.9,synthetic,2000-11-15,11.0,November,1990s,Southern
Blantyre,1998/99,1998,304.1,synthetic,2000-10-30,10.0,October,1990s,Southern
Blantyre,1999/00,1999,309.9,synthetic,2000-11-04,11.0,November,1990s,Southern
Blantyre,2000/01,2000,298.9,synthetic,2000-10-24,10.0,October,2000s,Southern
Blantyre,2001/02,2001,313.6,synthetic,2000-11-08,11.0,November,2000s,Southern
Blantyre,2002/03,2002,337.4,synthetic,2000-12-02,12.0,December,2000s,Southern
Blantyre,2003/04,2003,311.5,synthetic,2000-11-06,11.0,November,2000s,Southern
Blantyre,2004/05,2004,331.6,synthetic,2000-11-26,11.0,November,2000s,Southern
Blantyre,2005/06,2005,320.6,synthetic,2000-11-15,11.0,November,2000s,Southern
Blantyre,2006/07,2006,311.8,synthetic,2000-11-06,11.0,November,2000s,Southern
Blantyre,2007/08,2007,313.5,synthetic,2000-11-08,11.0,November,2000s,Southern
Blantyre,2008/09,2008,,synthetic,,,,2000s,Southern
Blantyre,2009/10,2009,327.7,synthetic,2000-11-22,11.0,November,2000s,Southern
Blantyre,2010/11,2010,323.2,synthetic,2000-11-18,11.0,November,2010s,Southern
Blantyre,2011/12,2011,311.7,synthetic,2000-11-06,11.0,November,2010s,Southern
Blantyre,2012/13,2012,323.1,synthetic,2000-11-18,11.0,November,2010s,Southern
Blantyre,2013/14,2013,319.4,synthetic,2000-11-14,11.0,November,2010s,Southern
Blantyre,2014/15,2014,321.5,synthetic,2000-11-16,11.0,November,2010s,Southern
Blantyre,2015/16,2015,334.9,synthetic,2000-11-29,11.0,November,2010s,Southern
Blantyre,2016/17,2016,313.2,synthetic,2000-11-08,11.0,November,2010s,Southern
Blantyre,2017/18,2017,323.3,synthetic,2000-11-18,11.0,November,2010s,Southern
Blantyre,2018/19,2018,341.9,synthetic,2000-12-06,12.0,December,2010s,Southern
Blantyre,2019/20,2019,,synthetic,,,,2010s,Southern
Blantyre,2020/21,2020,331.6,synthetic,2000-11-26,11.0,November,2020s,Southern
Blantyre,2021/22,2021,315.6,synthetic,2000-11-10,11.0,November,2020s,Southern
Blantyre,2022/23,2022,328.1,synthetic,2000-11-23,11.0,November,2020s,Southern
Blantyre,2023/24,2023,329.6,synthetic,2000-11-24,11.0,November,2020s,Southern
Chikwawa,1990/91,1990,310.6,synthetic,2000-11-05,11.0,November,1990s,Southern
Chikwawa,1991/92,1991,340.7,synthetic,2000-12-05,12.0,December,1990s,Southern
Chikwawa,1992/93,1992,317.7,synthetic,2000-11-12,11.0,November,1990s,Southern
Chikwawa,1993/94,1993,326.5,synthetic,2000-11-21,11.0,November,1990s,Southern
Chikwawa,1994/95,1994,336.5,synthetic,2000-12-01,12.0,December,1990s,Southern
Chikwawa,1995/96,1995,315.4,synthetic,2000-11-10,11.0,November,1990s,Southern
Chikwawa,1996/97,1996,311.1,synthetic,2000-11-06,11.0,November,1990s,Southern
Chikwawa,1997/98,1997,331.0,synthetic,2000-11-26,11.0,November,1990s,Southern
Chikwawa,1998/99,1998,307.3,synthetic,2000-11-02,11.0,November,1990s,Southern
Chikwawa,1999/00,1999,313.1,synthetic,2000-11-08,11.0,November,1990s,Southern
Chikwawa,2000/01,2000,313.3,synthetic,2000-11-08,11.0,November,2000s,Southern
Chikwawa,2001/02,2001,321.0,synthetic,2000-11-16,11.0,November,2000s,Southern
Chikwawa,2002/03,2002,326.5,synthetic,2000-11-21,11.0,November,2000s,Southern
Chikwawa,2003/04,2003,313.6,synthetic,2000-11-08,11.0,November,2000s,Southern
Chikwawa,2004/05,2004,338.8,synthetic,2000-12-03,12.0,December,2000s,Southern
Chikwawa,2005/06,2005,321.5,synthetic,2000-11-16,11.0,November,2000s,Southern
Chikwawa,2006/07,2006,324.5,synthetic,2000-11-19,11.0,November,2000s,Southern
Chikwawa,2007/08,2007,319.9,synthetic,2000-11-14,11.0,November,2000s,Southern
Chikwawa,2008/09,2008,330.0,synthetic,2000-11-25,11.0,November,2000s,Southern
Chikwawa,2009/10,2009,334.2,synthetic,2000-11-29,11.0,November,2000s,Southern
Chikwawa,2010/11,2010,310.4,synthetic,2000-11-05,11.0,November,2010s,Southern
Chikwawa,2011/12,2011,330.7,synthetic,2000-11-25,11.0,November,2010s,Southern
Chikwawa,2012/13,2012,317.8,synthetic,2000-11-12,11.0,November,2010s,Southern
Chikwawa,2013/14,2013,314.3,synthetic,2000-11-09,11.0,November,2010s,Southern
Chikwawa,2014/15,2014,325.2,synthetic,2000-11-20,11.0,November,2010s,Southern
Chikwawa,2015/16,2015,332.1,synthetic,2000-11-27,11.0,November,2010s,Southern
Chikwawa,2016/17,2016,322.8,synthetic,2000-11-17,11.0,November,2010s,Southern
Chikwawa,2017/18,2017,320.8,synthetic,2000-11-15,11.0,November,2010s,Southern
Chikwawa,2018/19,2018,332.5,synthetic,2000-11-27,11.0,November,2010s,Southern
Chikwawa,2019/20,2019,315.6,synthetic,2000-11-10,11.0,November,2010s,Southern
Chikwawa,2020/21,2020,309.7,synthetic,2000-11-04,11.0,November,2020s,Southern
Chikwawa,2021/22,2021,308.6,synthetic,2000-11-03,11.0,November,2020s,Southern
Chikwawa,2022/23,2022,327.2,synthetic,2000-11-22,11.0,November,2020s,Southern
Chikwawa,2023/24,2023,331.7,synthetic,2000-11-26,11.0,November,2020s,Southern
Chiradzulu,1990/91,1990,310.7,synthetic,2000-11-05,11.0,November,1990s,Southern
Chiradzulu,1991/92,1991,317.9,synthetic,2000-11-12,11.0,November,1990s,Southern
Chiradzulu,1992/93,1992,315.0,synthetic,2000-11-10,11.0,November,1990s,Southern
Chiradzulu,1993/94,1993,316.7,synthetic,2000-11-11,11.0,November,1990s,Southern
Chiradzulu,1994/95,1994,324.8,synthetic,2000-11-19,11.0,November,1990s,Southern
Chiradzulu,1995/96,1995,306.2,synthetic,2000-11-01,11.0,November,1990s,Southern
Chiradzulu,1996/97,1996,314.1,synthetic,2000-11-09,11.0,November,1990s,Southern
Chiradzulu,1997/98,1997,327.4,synthetic,2000-11-22,11.0,November,1990s,Southern
Chiradzulu,1998/99,1998,309.4,synthetic,2000-11-04,11.0,November,1990s,Southern
Chiradzulu,1999/00,1999,313.0,synthetic,2000-11-08,11.0,November,1990s,Southern
Chiradzulu,2000/01,2000,312.1,synthetic,2000-11-07,11.0,November,2000s,Southern
Chiradzulu,2001/02,2001,309.4,synthetic,2000-11-04,11.0,November,2000s,Southern
Chiradzulu,2002/03,2002,328.7,synthetic,2000-11-23,11.0,November,2000s,Southern
Chiradzulu,2003/04,2003,316.1,synthetic,2000-11-11,11.0,November,2000s,Southern
Chiradzulu,2004/05,2004,335.4,synthetic,2000-11-30,11.0,November,2000s,Southern
Chiradzulu,2005/06,2005,315.8,synthetic,2000-11-10,11.0,November,2000s,Southern
Chiradzulu,2006/07,2006,319.3,synthetic,2000-11-14,11.0,November,2000s,Southern
Chiradzulu,2007/08,2007,313.1,synthetic,2000-11-08,11.0,November,2000s,Southern
Chiradzulu,2008/09,2008,308.9,synthetic,2000-11-03,11.0,November,2000s,Southern
Chiradzulu,2009/10,2009,326.0,synthetic,2000-11-21,11.0,November,2000s,Southern
Chiradzulu,2010/11,2010,318.5,synthetic,2000-11-13,11.0,November,2010s,Southern
Chiradzulu,2011/12,2011,319.4,synthetic,2000-11-14,11.0,November,2010s,Southern
Chiradzulu,2012/13,2012,329.7,synthetic,2000-11-24,11.0,November,2010s,Southern
Chiradzulu,2013/14,2013,324.5,synthetic,2000-11-19,11.0,November,2010s,Southern
Chiradzulu,2014/15,2014,320.2,synthetic,2000-11-15,11.0,November,2010s,Southern
Chiradzulu,2015/16,2015,324.6,synthetic,2000-11-19,11.0,November,2010s,Southern
Chiradzulu,2016/17,2016,319.2,synthetic,2000-11-14,11.0,November,2010s,Southern
Chiradzulu,2017/18,2017,325.1,synthetic,2000-11-20,11.0,November,2010s,Southern
Chiradzulu,2018/19,2018,317.2,synthetic,2000-11-12,11.0,November,2010s,Southern
Chiradzulu,2019/20,2019,314.2,synthetic,2000-11-09,11.0,November,2010s,Southern
Chiradzulu,2020/21,2020,319.5,synthetic,2000-11-14,11.0,November,2020s,Southern
Chiradzulu,2021/22,2021,318.6,synthetic,2000-11-13,11.0,November,2020s,Southern
Chiradzulu,2022/23,2022,318.0,synthetic,2000-11-13,11.0,November,2020s,Southern
Chiradzulu,2023/24,2023,335.8,synthetic,2000-11-30,11.0,November,2020s,Southern
Chitipa,1990/91,1990,337.8,synthetic,2000-12-02,12.0,December,1990s,Northern
Chitipa,1991/92,1991,358.3,synthetic,2000-12-23,12.0,December,1990s,Northern
Chitipa,1992/93,1992,333.3,synthetic,2000-11-28,11.0,November,1990s,Northern
Chitipa,1993/94,1993,327.8,synthetic,2000-11-22,11.0,November,1990s,Northern
Chitipa,1994/95,1994,353.7,synthetic,2000-12-18,12.0,December,1990s,Northern
Chitipa,1995/96,1995,339.3,synthetic,2000-12-04,12.0,December,1990s,Northern
Chitipa,1996/97,1996,340.0,synthetic,2000-12-05,12.0,December,1990s,Northern
Chitipa,1997/98,1997,346.4,synthetic,2000-12-11,12.0,December,1990s,Northern
Chitipa,1998/99,1998,336.5,synthetic,2000-12-01,12.0,December,1990s,Northern
Chitipa,1999/00,1999,341.5,synthetic,2000-12-06,12.0,December,1990s,Northern
Chitipa,2000/01,2000,338.1,synthetic,2000-12-03,12.0,December,2000s,Northern
Chitipa,2001/02,2001,340.8,synthetic,2000-12-05,12.0,December,2000s,Northern
Chitipa,2002/03,2002,357.7,synthetic,2000-12-22,12.0,December,2000s,Northern
Chitipa,2003/04,2003,355.6,synthetic,2000-12-20,12.0,December,2000s,Northern
Chitipa,2004/05,2004,357.8,synthetic,2000-12-22,12.0,December,2000s,Northern
Chitipa,2005/06,2005,343.1,synthetic,2000-12-08,12.0,December,2000s,Northern
Chitipa,2006/07,2006,333.3,synthetic,2000-11-28,11.0,November,2000s,Northern
Chitipa,2007/08,2007,331.8,synthetic,2000-11-26,11.0,November,2000s,Northern
Chitipa,2008/09,2008,346.9,synthetic,2000-12-11,12.0,December,2000s,Northern
Chitipa,2009/10,2009,336.4,synthetic,2000-12-01,12.0,December,2000s,Northern
Chitipa,2010/11,2010,339.4,synthetic,2000-12-04,12.0,December,2010s,Northern
Chitipa,2011/12,2011,338.1,synthetic,2000-12-03,12.0,December,2010s,Northern
Chitipa,2012/13,2012,350.1,synthetic,2000-12-15,12.0,December,2010s,Northern
Chitipa,2013/14,2013,349.1,synthetic,2000-12-14,12.0,December,2010s,Northern
Chitipa,2014/15,2014,345.3,synthetic,2000-12-10,12.0,December,2010s,Northern
Chitipa,2015/16,2015,351.2,synthetic,2000-12-16,12.0,December,2010s,Northern
Chitipa,2016/17,2016,,synthetic,,,,2010s,Northern
Chitipa,2017/18,2017,352.7,synthetic,2000-12-17,12.0,December,2010s,Northern
Chitipa,2018/19,2018,351.4,synthetic,2000-12-16,12.0,December,2010s,Northern
Chitipa,2019/20,2019,344.5,synthetic,2000-12-09,12.0,December,2010s,Northern
Chitipa,2020/21,2020,346.7,synthetic,2000-12-11,12.0,December,2020s,Northern
Chitipa,2021/22,2021,344.9,synthetic,2000-12-09,12.0,December,2020s,Northern
Chitipa,2022/23,2022,349.3,synthetic,2000-12-14,12.0,December,2020s,Northern
Chitipa,2023/24,2023,355.9,synthetic,2000-12-20,12.0,December,2020s,Northern
Dedza,1990/91,1990,317.7,synthetic,2000-11-12,11.0,November,1990s,Central
Dedza,1991/92,1991,345.3,synthetic,2000-12-10,12.0,December,1990s,Central
Dedza,1992/93,1992,326.5,synthetic,2000-11-21,11.0,November,1990s,Central
Dedza,1993/94,1993,327.6,synthetic,2000-11-22,11.0,November,1990s,Central
Dedza,1994/95,1994,342.2,synthetic,2000-12-07,12.0,December,1990s,Central
Dedza,1995/96,1995,310.7,synthetic,2000-11-05,11.0,November,1990s,Central
Dedza,1996/97,1996,329.0,synthetic,2000-11-24,11.0,November,1990s,Central
Dedza,1997/98,1997,339.3,synthetic,2000-12-04,12.0,December,1990s,Central
Dedza,1998/99,1998,310.8,synthetic,2000-11-05,11.0,November,1990s,Central
Dedza,1999/00,1999,329.3,synthetic,2000-11-24,11.0,November,1990s,Central
Dedza,2000/01,2000,324.3,synthetic,2000-11-19,11.0,November,2000s,Central
Dedza,2001/02,2001,341.7,synthetic,2000-12-06,12.0,December,2000s,Central
Dedza,2002/03,2002,343.8,synthetic,2000-12-08,12.0,December,2000s,Central
Dedza,2003/04,2003,332.4,synthetic,2000-11-27,11.0,November,2000s,Central
Dedza,2004/05,2004,334.6,synthetic,2000-11-29,11.0,November,2000s,Central
Dedza,2005/06,2005,319.1,synthetic,2000-11-14,11.0,November,2000s,Central
Dedza,2006/07,2006,329.3,synthetic,2000-11-24,11.0,November,2000s,Central
Dedza,2007/08,2007,332.6,synthetic,2000-11-27,11.0,November,2000s,Central
Dedza,2008/09,2008,335.3,synthetic,2000-11-30,11.0,November,2000s,Central
Dedza,2009/10,2009,345.7,synthetic,2000-12-10,12.0,December,2000s,Central
Dedza,2010/11,2010,336.2,synthetic,2000-12-01,12.0,December,2010s,Central
Dedza,2011/12,2011,344.9,synthetic,2000-12-09,12.0,December,2010s,Central
Dedza,2012/13,2012,344.1,synthetic,2000-12-09,12.0,December,2010s,Central
Dedza,2013/14,2013,339.5,synthetic,2000-12-04,12.0,December,2010s,Central
Dedza,2014/15,2014,335.6,synthetic,2000-11-30,11.0,November,2010s,Central
Dedza,2015/16,2015,339.9,synthetic,2000-12-04,12.0,December,2010s,Central
Dedza,2016/17,2016,341.4,synthetic,2000-12-06,12.0,December,2010s,Central
Dedza,2017/18,2017,344.8,synthetic,2000-12-09,12.0,December,2010s,Central
Dedza,2018/19,2018,349.1,synthetic,2000-12-14,12.0,December,2010s,Central
Dedza,2019/20,2019,345.1,synthetic,2000-12-10,12.0,December,2010s,Central
Dedza,2020/21,2020,318.2,synthetic,2000-11-13,11.0,November,2020s,Central
Dedza,2021/22,2021,338.6,synthetic,2000-12-03,12.0,December,2020s,Central
Dedza,2022/23,2022,332.1,synthetic,2000-11-27,11.0,November,2020s,Central
Dedza,2023/24,2023,369.9,synthetic,2001-01-03,1.0,January,2020s,Central
Dowa,1990/91,1990,328.8,synthetic,2000-11-23,11.0,November,1990s,Central
Dowa,1991/92,1991,,synthetic,,,,1990s,Central
Dowa,1992/93,1992,331.5,synthetic,2000-11-26,11.0,November,1990s,Central
Dowa,1993/94,1993,331.1,synthetic,2000-11-26,11.0,November,1990s,Central
Dowa,1994/95,1994,349.7,synthetic,2000-12-14,12.0,December,1990s,Central
Dowa,1995/96,1995,331.7,synthetic,2000-11-26,11.0,November,1990s,Central
Dowa,1996/97,1996,336.6,synthetic,2000-12-01,12.0,December,1990s,Central
Dowa,1997/98,1997,335.0,synthetic,2000-11-30,11.0,November,1990s,Central
Dowa,1998/99,1998,320.0,synthetic,2000-11-15,11.0,November,1990s,Central
Dowa,1999/00,1999,328.3,synthetic,2000-11-23,11.0,November,1990s,Central
Dowa,2000/01,2000,318.4,synthetic,2000-11-13,11.0,November,2000s,Central
Dowa,2001/02,2001,315.5,synthetic,2000-11-10,11.0,November,2000s,Central
Dowa,2002/03,2002,332.5,synthetic,2000-11-27,11.0,November,2000s,Central
Dowa,2003/04,2003,329.5,synthetic,2000-11-24,11.0,November,2000s,Central
Dowa,2004/05,2004,344.1,synthetic,2000-12-09,12.0,December,2000s,Central
Dowa,2005/06,2005,335.6,synthetic,2000-11-30,11.0,November,2000s,Central
Dowa,2006/07,2006,334.0,synthetic,2000-11-29,11.0,November,2000s,Central
Dowa,2007/08,2007,339.6,synthetic,2000-12-04,12.0,December,2000s,Central
Dowa,2008/09,2008,330.6,synthetic,2000-11-25,11.0,November,2000s,Central
Dowa,2009/10,2009,337.9,synthetic,2000-12-02,12.0,December,2000s,Central
Dowa,2010/11,2010,321.5,synthetic,2000-11-16,11.0,November,2010s,Central
Dowa,2011/12,2011,330.2,synthetic,2000-11-25,11.0,November,2010s,Central
Dowa,2012/13,2012,339.2,synthetic,2000-12-04,12.0,December,2010s,Central
Dowa,2013/14,2013,333.2,synthetic,2000-11-28,11.0,November,2010s,Central
Dowa,2014/15,2014,337.8,synthetic,2000-12-02,12.0,December,2010s,Central
Dowa,2015/16,2015,344.9,synthetic,2000-12-09,12.0,December,2010s,Central
Dowa,2016/17,2016,329.8,synthetic,2000-11-24,11.0,November,2010s,Central
Dowa,2017/18,2017,326.9,synthetic,2000-11-21,11.0,November,2010s,Central
Dowa,2018/19,2018,343.7,synthetic,2000-12-08,12.0,December,2010s,Central
Dowa,2019/20,2019,321.8,synthetic,2000-11-16,11.0,November,2010s,Central
Dowa,2020/21,2020,325.7,synthetic,2000-11-20,11.0,November,2020s,Central
Dowa,2021/22,2021,325.1,synthetic,2000-11-20,11.0,November,2020s,Central
Dowa,2022/23,2022,338.8,synthetic,2000-12-03,12.0,December,2020s,Central
Dowa,2023/24,2023,353.1,synthetic,2000-12-18,12.0,December,2020s,Central
Karonga,1990/91,1990,327.5,synthetic,2000-11-22,11.0,November,1990s,Northern
Karonga,1991/92,1991,333.4,synthetic,2000-11-28,11.0,November,1990s,Northern
Karonga,1992/93,1992,336.0,synthetic,2000-12-01,12.0,December,1990s,Northern
Karonga,1993/94,1993,321.1,synthetic,2000-11-16,11.0,November,1990s,Northern
Karonga,1994/95,1994,352.1,synthetic,2000-12-17,12.0,December,1990s,Northern
Karonga,1995/96,1995,331.7,synthetic,2000-11-26,11.0,November,1990s,Northern
Karonga,1996/97,1996,336.1,synthetic,2000-12-01,12.0,December,1990s,Northern
Karonga,1997/98,1997,333.3,synthetic,2000-11-28,11.0,November,1990s,Northern
Karonga,1998/99,1998,332.3,synthetic,2000-11-27,11.0,November,1990s,Northern
Karonga,1999/00,1999,334.6,synthetic,2000-11-29,11.0,November,1990s,Northern
Karonga,2000/01,2000,336.1,synthetic,2000-12-01,12.0,December,2000s,Northern
Karonga,2001/02,2001,336.5,synthetic,2000-12-01,12.0,December,2000s,Northern
Karonga,2002/03,2002,350.8,synthetic,2000-12-15,12.0,December,2000s,Northern
Karonga,2003/04,2003,335.0,synthetic,2000-11-30,11.0,November,2000s,Northern
Karonga,2004/05,2004,330.7,synthetic,2000-11-25,11.0,November,2000s,Northern
Karonga,2005/06,2005,353.9,synthetic,2000-12-18,12.0,December,2000s,Northern
Karonga,2006/07,2006,327.6,synthetic,2000-11-22,11.0,November,2000s,Northern
Karonga,2007/08,2007,330.6,synthetic,2000-11-25,11.0,November,2000s,Northern
Karonga,2008/09,2008,343.8,synthetic,2000-12-08,12.0,December,2000s,Northern
Karonga,2009/10,2009,356.6,synthetic,2000-12-21,12.0,December,2000s,Northern
Karonga,2010/11,2010,331.6,synthetic,2000-11-26,11.0,November,2010s,Northern
Karonga,2011/12,2011,325.7,synthetic,2000-11-20,11.0,November,2010s,Northern
Karonga,2012/13,2012,340.3,synthetic,2000-12-05,12.0,December,2010s,Northern
Karonga,2013/14,2013,342.2,synthetic,2000-12-07,12.0,December,2010s,Northern
Karonga,2014/15,2014,337.2,synthetic,2000-12-02,12.0,December,2010s,Northern
Karonga,2015/16,2015,344.3,synthetic,2000-12-09,12.0,December,2010s,Northern
Karonga,2016/17,2016,352.2,synthetic,2000-12-17,12.0,December,2010s,Northern
Karonga,2017/18,2017,335.4,synthetic,2000-11-30,11.0,November,2010s,Northern
Karonga,2018/19,2018,353.9,synthetic,2000-12-18,12.0,December,2010s,Northern
Karonga,2019/20,2019,336.4,synthetic,2000-12-01,12.0,December,2010s,Northern
Karonga,2020/21,2020,340.5,synthetic,2000-12-05,12.0,December,2020s,Northern
Karonga,2021/22,2021,343.6,synthetic,2000-12-08,12.0,December,2020s,Northern
Karonga,2022/23,2022,340.5,synthetic,2000-12-05,12.0,December,2020s,Northern
Karonga,2023/24,2023,369.7,synthetic,2001-01-03,1.0,January,2020s,Northern
Kasungu,1990/91,1990,327.0,synthetic,2000-11-22,11.0,November,1990s,Central
Kasungu,1991/92,1991,345.4,synthetic,2000-12-10,12.0,December,1990s,Central
Kasungu,1992/93,1992,326.6,synthetic,2000-11-21,11.0,November,1990s,Central
Kasungu,1993/94,1993,334.5,synthetic,2000-11-29,11.0,November,1990s,Central
Kasungu,1994/95,1994,338.7,synthetic,2000-12-03,12.0,December,1990s,Central
Kasungu,1995/96,1995,329.7,synthetic,2000-11-24,11.0,November,1990s,Central
Kasungu,1996/97,1996,326.6,synthetic,2000-11-21,11.0,November,1990s,Central
Kasungu,1997/98,1997,333.6,synthetic,2000-11-28,11.0,November,1990s,Central
Kasungu,1998/99,1998,333.1,synthetic,2000-11-28,11.0,November,1990s,Central
Kasungu,1999/00,1999,323.8,synthetic,2000-11-18,11.0,November,1990s,Central
Kasungu,2000/01,2000,323.4,synthetic,2000-11-18,11.0,November,2000s,Central
Kasungu,2001/02,2001,333.2,synthetic,2000-11-28,11.0,November,2000s,Central
Kasungu,2002/03,2002,344.4,synthetic,2000-12-09,12.0,December,2000s,Central
Kasungu,2003/04,2003,335.7,synthetic,2000-11-30,11.0,November,2000s,Central
Kasungu,2004/05,2004,336.4,synthetic,2000-12-01,12.0,December,2000s,Central
Kasungu,2005/06,2005,334.8,synthetic,2000-11-29,11.0,November,2000s,Central
Kasungu,2006/07,2006,337.0,synthetic,2000-12-02,12.0,December,2000s,Central
Kasungu,2007/08,2007,320.8,synthetic,2000-11-15,11.0,November,2000s,Central
Kasungu,2008/09,2008,347.5,synthetic,2000-12-12,12.0,December,2000s,Central
Kasungu,2009/10,2009,345.9,synthetic,2000-12-10,12.0,December,2000s,Central
Kasungu,2010/11,2010,335.3,synthetic,2000-11-30,11.0,November,2010s,Central
Kasungu,2011/12,2011,,synthetic,,,,2010s,Central
Kasungu,2012/13,2012,,synthetic,,,,2010s,Central
Kasungu,2013/14,2013,332.0,synthetic,2000-11-27,11.0,November,2010s,Central
Kasungu,2014/15,2014,348.3,synthetic,2000-12-13,12.0,December,2010s,Central
Kasungu,2015/16,2015,,synthetic,,,,2010s,Central
Kasungu,2016/17,2016,349.1,synthetic,2000-12-14,12.0,December,2010s,Central
Kasungu,2017/18,2017,347.2,synthetic,2000-12-12,12.0,December,2010s,Central
Kasungu,2018/19,2018,357.5,synthetic,2000-12-22,12.0,December,2010s,Central
Kasungu,2019/20,2019,339.2,synthetic,2000-12-04,12.0,December,2010s,Central
Kasungu,2020/21,2020,349.6,synthetic,2000-12-14,12.0,December,2020s,Central
Kasungu,2021/22,2021,342.5,synthetic,2000-12-07,12.0,December,2020s,Central
Kasungu,2022/23,2022,354.6,synthetic,2000-12-19,12.0,December,2020s,Central
Kasungu,2023/24,2023,,synthetic,,,,2020s,Central
Lilongwe,1990/91,1990,325.5,synthetic,2000-11-20,11.0,November,1990s,Central
Lilongwe,1991/92,1991,347.0,synthetic,2000-12-12,12.0,December,1990s,Central
Lilongwe,1992/93,1992,333.9,synthetic,2000-11-28,11.0,November,1990s,Central
Lilongwe,1993/94,1993,334.2,synthetic,2000-11-29,11.0,November,1990s,Central
Lilongwe,1994/95,1994,326.2,synthetic,2000-11-21,11.0,November,1990s,Central
Lilongwe,1995/96,1995,,synthetic,,,,1990s,Central
Lilongwe,1996/97,1996,326.8,synthetic,2000-11-21,11.0,November,1990s,Central
Lilongwe,1997/98,1997,337.9,synthetic,2000-12-02,12.0,December,1990s,Central
Lilongwe,1998/99,1998,322.9,synthetic,2000-11-17,11.0,November,1990s,Central
Lilongwe,1999/00,1999,315.8,synthetic,2000-11-10,11.0,November,1990s,Central
Lilongwe,2000/01,2000,323.1,synthetic,2000-11-18,11.0,November,2000s,Central
Lilongwe,2001/02,2001,328.4,synthetic,2000-11-23,11.0,November,2000s,Central
Lilongwe,2002/03,2002,342.7,synthetic,2000-12-07,12.0,December,2000s,Central
Lilongwe,2003/04,2003,324.8,synthetic,2000-11-19,11.0,November,2000s,Central
Lilongwe,2004/05,2004,341.1,synthetic,2000-12-06,12.0,December,2000s,Central
Lilongwe,2005/06,2005,337.2,synthetic,2000-12-02,12.0,December,2000s,Central
